datetime,text,likes
2021-04-01 20:59:20,,241447
2021-04-01 03:18:59,The American Jobs Plan is the largest American jobs investment since World War II.,98283
2021-04-01 00:49:49,"More than 35% of rural America lacks access to high-speed internet.

The American Jobs Plan will make it easier for families who don’t have affordable service to get it and drive down internet prices for folks across our country.",41705
2021-03-31 22:47:24,"Millions of Americans lost their jobs last year.

Here’s the truth: We all do better when we all do well. It’s time to build our economy from the bottom up—and the middle out—not the top down.",57040
2021-03-14 16:14:32,"It matters whether you continue to wear a mask.
It matters whether you continue to socially distance.
It matters whether you wash your hands.

It all matters and can help save lives.",179706
2021-03-13 18:43:41,"The American Rescue Plan means a $7,000 check for a single mom of four. It means more support to safely and quickly reopen schools. It means setting up additional vaccination sites to help America get back to normal.

What does the American Rescue Plan mean to you?",95618
2021-03-12 17:31:23,"85% of American households will get direct checks from the American Rescue Plan.

For so many Americans, that means they can pay the rent. That means they can put food on the table.

Share below what the American Rescue Plan will do for you.",61641
2021-03-01 17:00:54,"A campaign for everyone who’s been knocked down or counted out.

A campaign that brought Americans together of every race, ethnicity, gender, economic station, and party.

A year ago, the people of South Carolina lifted that campaign on their shoulders.

MEDIUM.COM
South Carolina: A Year Later",75320
2021-01-20 21:36:20,"Today, we begin anew. Tune in for #Inauguration2021.",1046429
2021-01-20 19:23:34,"Now the real work begins, folks. Follow along at President Joe Biden as we build back better.",977613
2021-01-20 16:47:15,"I love you, Jilly, and I couldn’t be more grateful to have you with me on the journey ahead.",296443
2021-01-20 15:58:34,"Today, we begin anew. Tune in for #Inauguration2021.",383791
2021-01-20 15:18:03,It’s a new day in America.,1142411
2021-01-20 04:14:46,"Tonight, in Washington, D.C. and across the nation, we came together to honor the over 400,000 Americans we’ve lost to COVID-19. The last year has tested us in unimaginable ways, but now it’s time we begin to heal and overcome — together.",440918
2021-01-20 02:54:26,"We don’t have a second to waste when it comes to tackling the crises we face as a nation. That’s why after being sworn in tomorrow, I’ll get right to work.

NYTIMES.COM
Biden Seeks Quick Start With Executive Actions and Aggressive Legislation",189553
2021-01-19 23:10:52,"Join us for a national moment of unity and remembrance in honor of the 400,000 Americans we’ve lost due to COVID-19.",50622
2021-01-19 21:42:42,"Next stop: Washington, D.C.",296541
2021-01-19 19:37:59,I’m in Delaware for one final event before I head to Washington for tomorrow’s inauguration. Tune in,70498
2021-01-19 04:13:34,"There’s no more fitting way to honor the legacy of Dr. Martin Luther King, Jr. than service. Thank you to Philabundance for letting us stop by and for the work you do every day to end hunger.",73313
2021-01-19 02:01:22,"As the National Day of Service comes to a close, we’re celebrating the legacy of Dr. Martin Luther King, Jr. with an evening full of entertainers and inspiring speakers. Tune in for “United We Serve.”",30794
2021-01-18 21:28:09,"Dr. Martin Luther King, Jr.’s words remind us that darkness cannot drive out darkness and hate cannot drive out hate — only light and love can. As we seek to overcome this season of darkness in America, let us choose love and light and begin to heal — together. #MLKDay",158644
2021-01-18 19:11:45,"Our Administration will lead with science and scientists — with a CDC and NIH that are free from political influence, a Surgeon General who is independent and speaks directly to the people, and an FDA whose decisions are based on science and science alone.",96549
2021-01-18 01:50:50,"My administration will do everything we can to get 100 million shots into arms by the end of our first 100 days. This is the time to set big goals and to pursue them with courage and conviction, because the health of the nation is at stake.",122214
2021-01-17 23:04:47,"Service is a fitting way to start to heal, unite, and rebuild this country we love.

I hope you’ll join us in honoring the legacy of Dr. Martin Luther King, Jr. by participating in the National Day of Service: bideninaugural.org/service",86977
2021-01-17 19:47:32,"I know masks have become a partisan issue — but it’s a patriotic act. Experts say wearing a mask from now until April will save more than 50,000 lives.",174085
2021-01-17 15:50:37,"Though pushed, tested, and threatened throughout the 2020 election, our democracy proved to be resilient, true, and strong. My Campaign Advisor Bob Bauer and General Counsel Dana Remus shared their thoughts on how the will of the people prevailed.

JOEBIDEN.COM
The Protection of the 2020 Election",101131
2021-01-17 03:44:15,"Across the country, approximately 14 million Americans have fallen behind on rent and many may soon be at risk of eviction.

We need to act now. That’s why next week, I’ll extend nationwide restrictions on evictions and foreclosures.",48699
2021-01-17 01:01:20,"The first #Inauguration2021 event is here. Tune in as we celebrate America, reflect and honor our history, and highlight the incredible diversity of the nation.",33487
2021-01-16 22:52:12,"To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That’s why my administration will harness the full resources of the federal government to establish thousands of community vaccination centers.

CNBC.COM
Biden to deploy FEMA, National Guard to set up Covid vaccine clinics across the U.S.",134470
2021-01-16 19:48:34,"Science will be at the forefront of my administration — and this group will ensure everything we do is grounded in science, facts, and the truth. Tune in as I introduce members of my science team.",29207
2021-01-16 17:28:39,Getting America vaccinated will be one of the most challenging operational efforts ever undertaken. But you have my word that we will manage the hell out of this operation.,47694
2021-01-16 02:33:11,"We not only have an economic imperative to act now, we have a moral obligation.",80978
2021-01-15 23:34:41,"Science will always be at the forefront of my administration — and these world-renowned scientists will ensure everything we do is grounded in science, facts, and the truth.

BUILDBACKBETTER.GOV
Science Nominees and Appointees | President-Elect Joe Biden",43075
2021-01-15 20:01:51,"My administration will move Heaven and Earth to:

- Allow more people to get vaccinated
- Create more places for them to get vaccinated
- Mobilize more medical teams to get shots in arms
- Increase vaccine supply and get it out the door as soon as possible",104872
2021-01-15 18:06:16,"To Pilar, and the countless other small business owners across the country, know that help is on the way.",45573
2021-01-15 03:32:13,These are key elements of my American Rescue Plan.,178178
2021-01-15 01:16:57,We have no time to waste when it comes to getting this virus under control and building our economy back better. Tune in as I announce my American Rescue Plan.,29538
2021-01-14 23:36:51,"We need to tackle the public health and economic crises we’re facing head-on. That’s why today, I’m announcing my American Rescue Plan. Together, we’ll change the course of the pandemic, build a bridge towards economic recovery, and invest in racial justice.

WASHINGTONPOST.COM
Biden unveiling $1.9 trillion economic and health care relief package",87713
2021-01-14 04:45:43,"We’re in the teeth of this crisis, and we need to take immediate action to get the virus under control. That’s why tomorrow, I’ll be laying out my vaccination and economic rescue package to beat COVID-19 and build back better.

CNN.COM
The US just suffered its worst day ever for Covid-19 deaths. But this summer could be 'dramatically better'",57261
2021-01-14 04:18:04,"Today, in a bipartisan vote, the House voted to impeach and hold President Trump accountable. Now, the process continues to the Senate—and I hope they’ll deal with their Constitutional responsibilities on impeachment while also working on the other urgent business of this nation.",136102
2021-01-13 16:58:22,"Ambassador Samantha Power is a world-renowned voice of conscience and moral clarity — challenging and rallying the international community to stand up for the dignity and humanity of all people. As USAID Administrator, she'll be a powerful force for principled American engagement.",32550
2021-01-12 21:30:38,My number one priority is getting people vaccinated as quickly as we can to get our country back on track.,89940
2021-01-12 20:00:38,"It’s long past time to raise the minimum wage, so hardworking people earn at least $15 an hour.

I hope that Democratic control of the House and Senate will ensure prompt action to get it done.",100810
2021-01-12 15:05:07,"I urge every American to:

- Wear a mask
- Stay socially distanced
- Avoid large indoor gatherings

We can save countless lives if we step up together.",158554
2021-01-12 02:15:49,"Getting America vaccinated will be one of the greatest operational challenges we’ve ever faced, but my administration will spare no effort to get it done.

We’re going to ensure the vaccine is distributed quickly, equitably, and free of charge to every American.",76275
2021-01-11 23:46:30,"Folks, I just received the second dose of my COVID-19 vaccine — and just like the first dose, it was safe, quick, and painless.

I urge everyone to get vaccinated once it’s your turn. Because only together can we save lives and beat this virus.",204713
2021-01-11 21:41:21,"The work of the next four years must be the restoration of democracy and the recovery of respect for the rule of law, and the renewal of a politics that’s about solving problems — not stoking the flames of hate and chaos.",106696
2021-01-11 15:41:13,"I’m asking Ambassador Bill Burns to lead the Central Intelligence Agency because he’s dealt with many of the thorniest global challenges we face. As a legendary career diplomat, he approached complex issues with honesty, integrity and skill. That’s exactly how he’ll lead the CIA.",39511
2021-01-11 01:30:31,"$600 is simply not enough when you have to choose between paying rent or putting food on the table.

We need $2,000 stimulus checks.",247850
2021-01-10 20:30:01,"I am proud that we have finished naming the members of our Cabinet.

It’s a Cabinet that looks like America and taps into the full range of talents we have in our nation.",61977
2021-01-10 17:00:02,"In 10 days, we move forward and rebuild — together.",267858
2021-01-10 01:30:00,The bottom line is we need to provide immediate relief for working families and businesses. Now.,34281
2021-01-09 21:30:12,"Our president is not above the law.

Justice serves the people — it doesn’t protect the powerful.",204375
2021-01-09 17:35:40,"From the most inequitable economic and jobs crisis in modern history, my jobs team will help us build back better with an economy that works for all Americans. Let’s get to work.",71825
2021-01-09 01:35:56,My administration will get right to work distributing emergency aid swiftly and equitably. Our focus will be on the small businesses on Main Street — not those that are wealthy and well-connected.,43405
