datetime,text,likes
2021-01-06 21:14:34,"I am asking for everyone at the U.S. Capitol to remain peaceful. No violence! Remember, WE are the Party of Law & Order – respect the Law and our great men and women in Blue. Thank you!",1167713
2021-01-06 20:40:18,Please support our Capitol Police and Law Enforcement. They are truly on the side of our Country. Stay peaceful!,628034
2021-01-06 20:28:46,"Mike Pence didn’t have the courage to do what should have been done to protect our Country and our Constitution, giving States a chance to certify a corrected set of facts, not the fraudulent or inaccurate ones which they were asked to previously certify. USA demands the truth!",464828
2021-01-06 17:02:03,"Right Side Broadcasting was live.
January 6 at 9:25 AM ·

TRUMP RALLY LIVE IN DC: President Donald Trump Save America Rally at The Ellipse 1/6/21",168846
2021-01-06 16:48:49,These scoundrels are only toying with the David Perdue (a great guy) vote. Just didn’t want to announce quite yet. They’ve got as many ballots as are necessary. Rigged Election!,192395
2021-01-06 15:16:56,Even Mexico uses Voter I.D.,374460
2021-01-06 15:16:47,The States want to redo their votes. They found out they voted on a FRAUD. Legislatures never approved. Let them do it. BE STRONG!,275932
2021-01-06 15:06:46,"They just happened to find 50,000 ballots late last night. The USA is embarrassed by fools. Our Election Process is worse than that of third world countries!",451648
2021-01-06 15:06:35,"THE REPUBLICAN PARTY AND, MORE IMPORTANTLY, OUR COUNTRY, NEEDS THE PRESIDENCY MORE THAN EVER BEFORE - THE POWER OF THE VETO. STAY STRONG!",333373
2021-01-06 15:06:25,"States want to correct their votes, which they now know were based on irregularities and fraud, plus corrupt process never received legislative approval. All Mike Pence has to do is send them back to the States, AND WE WIN. Do it Mike, this is a time for extreme courage!",387283
2021-01-06 15:06:10,Sleepy Eyes Chuck Todd is so happy with the fake voter tabulation process that he can’t even get the words out straight. Sad to watch!,120922
2021-01-06 07:23:45,"If Vice President Mike Pence comes through for us, we will win the Presidency. Many States want to decertify the mistake they made in certifying incorrect & even fraudulent numbers in a process NOT approved by their State Legislatures (which it must be). Mike can send it back!",425148
2021-01-06 06:09:44,Just happened to have found another 4000 ballots from Fulton County. Here we go!,355438
2021-01-06 05:06:59,Looks like they are setting up a big “voter dump” against the Republican candidates. Waiting to see how many votes they need?,165994
2021-01-06 04:03:46,BIG NEWS IN PENNSYLVANIA!,499257
2021-01-05 23:45:47,I will be speaking at the SAVE AMERICA RALLY tomorrow on the Ellipse at 11AM Eastern. Arrive early — doors open at 7AM Eastern. BIG CROWDS!,184092
2021-01-05 23:28:08,"Antifa is a Terrorist Organization, stay out of Washington. Law enforcement is watching you very closely!",453494
2021-01-05 23:18:40,"I hope the Democrats, and even more importantly, the weak and ineffective RINO section of the Republican Party, are looking at the thousands of people pouring into D.C. They won’t stand for a landslide election victory to be stolen. Senators McConnell, Cornyn and Thune",260715
2021-01-05 23:17:02,"Washington is being inundated with people who don’t want to see an election victory stolen by emboldened Radical Left Democrats. Our Country has had enough, they won’t take it anymore! We hear you (and love you) from the Oval Office. MAKE AMERICA GREAT AGAIN!",619030
2021-01-05 20:50:27,GEORGIA! Get out today and VOTE for Kelly Loeffler and David Perdue!,237836
2021-01-05 19:35:44,"Reports are coming out of the 12th Congressional District of Georgia that Dominion Machines are not working in certain Republican Strongholds for over an hour. Ballots are being left in lock boxes, hopefully they count them. Thank you Congressman Rick Allen!",209801
2021-01-05 17:42:21,The Vice President has the power to reject fraudulently chosen electors.,515141
2021-01-05 16:17:56,"Georgia, get out and VOTE for two great Senators, Kelly Loeffler and David Perdue. So important to do so!",207679
2021-01-05 16:16:07,"Pleased to announce that Kelly Loeffler & David Perdue have just joined our great #StopTheSteal group of Senators. They will fight the ridiculous Electoral College Certification of Biden. How do you certify numbers that have now proven to be wrong and, in many cases, fraudulent!",383859
2021-01-05 03:41:38,"LIVE: President Trump in Dalton, GA #Georgia #MAGA #StopTheSteal",172971
2021-01-05 03:08:34,"LIVE: President Trump in Dalton, GA #Georgia #MAGA #StopTheSteal",224813
2021-01-05 02:51:14,"On my way, see you soon!",160488
2021-01-05 00:38:33,Heading to Georgia now. See you soon!,548190
2021-01-04 20:09:18,"AXIOS.COM
Saudi Arabia, Qatar to sign U.S.-brokered deal to ease Gulf crisis",163067
2021-01-04 16:46:43,"The “Surrender Caucus” within the Republican Party will go down in infamy as weak and ineffective “guardians” of our Nation, who were willing to accept the certification of fraudulent presidential numbers!",241844
2021-01-04 16:35:00,"“We are not acting to thwart the Democratic process, we are acting to protect it.” Senator Ron Johnson",206300
2021-01-04 16:15:25,"“We’ve seen in the last few months, unprecedented amounts of Voter Fraud.” Sen. Ted Cruz - True!",210681
2021-01-04 16:12:31,"How can you certify an election when the numbers being certified are verifiably WRONG. You will see the real numbers tonight during my speech, but especially on JANUARY 6th. Sen. Tom Cotton Republicans have pluses & minuses, but one thing is sure, THEY NEVER FORGET!",292997
2021-01-04 06:48:44,,49497
2021-01-04 06:22:01,,63185
2021-01-03 19:47:25,"Sorry, but the number of votes in the Swing States that we are talking about is VERY LARGE and totally OUTCOME DETERMINATIVE! Only the Democrats and some RINO’S would dare dispute this - even though they know it is true!",286684
2021-01-03 19:27:21,"The Swing States did not even come close to following the dictates of their State Legislatures. These States “election laws” were made up by local judges & politicians, not by their Legislatures, & are therefore, before even getting to irregularities & fraud, UNCONSTITUTIONAL! Senator Cruz, Senator Hawley, Rep. Jordan, Leader McConnell, Leader McCarthy & THE WORLD!",198069
2021-01-03 19:01:42,"Trump Speaks to State Legislators on Call About Decertifying Election

BREITBART.COM
Trump Speaks to State Legislators on Call About Decertifying Election",153070
2021-01-03 16:32:42,"See you TOMORROW, Georgia!

EVENTS.DONALDJTRUMP.COM
The Republican National Committee hosts a Victory Rally featuring President Donald J. Trump, Senator David Perdue, Senator Kelly Loeffler, and other republicans in Dalton, GA

Team Trump
January 3 at 11:30 AM ·

President Donald J. Trump will be in #Georgia TOMORROW with Kelly Loeffler and David Perdue!

RSVP now!",126349
2021-01-03 16:13:10,"Something how Dr. Fauci is revered by the LameStream Media as such a great professional, having done, they say, such an incredible job, yet he works for me and the Trump Administration, and I am in no way given any credit for my work. Gee, could this just be more Fake News?",316956
2021-01-03 15:32:32,"“Georgia election data, just revealed, shows that over 17,000 votes illegally flipped from Trump to Biden.” OANN This alone (there are many other irregularities) is enough to easily “swing Georgia to Trump”. #StopTheSteal",370610
2021-01-03 15:04:46,"I spoke to Secretary of State Brad Raffensperger yesterday about Fulton County and voter fraud in Georgia. He was unwilling, or unable, to answer questions such as the “ballots under table” scam, ballot destruction, out of state “voters”, dead voters, and more. He has no clue!",160853
2021-01-03 14:40:26,"Republicans in Georgia must be careful of the political corruption in Fulton County, which is rampant. The Governor, Brian Kemp, and his puppet Lt. Governor, Geoff Duncan, have done less than nothing. They are a disgrace to the great people of Georgia!",172060
2021-01-03 14:39:54,"The number of cases and deaths of the China Virus is far exaggerated in the United States because of CDC’s ridiculous method of determination compared to other countries, many of whom report, purposely, very inaccurately and low. “When in doubt, call it Covid.” Fake News!",483958
2021-01-03 14:39:30,The vaccines are being delivered to the states by the Federal Government far faster than they can be administered!,152686
2021-01-03 14:39:16,"GOP Senators Join Hawley in Objecting to Electoral College Votes

BREITBART.COM
GOP Senators Join Hawley in Objecting to Electoral College Votes",151105
2021-01-03 14:38:12,"Judge Jeanine Pirro
January 2 at 10:12 PM ·

It may be a new year, but I’m not so sure much has changed from 48 hours ago. The left’s hypocrisy continues to know no bounds. January 6th when the Electoral College vote will be formally counted is just a few days away…yet how much do you even know about January 6th and the congressional mechanism in place? The mainstream media doesn’t talk about it. They prefer that the Joe Biden presidency be considered a done deal. Move on you truth deniers. #OpeningStatement",74457
2021-01-03 14:37:14,,154361
2021-01-03 03:44:30,,154803
2021-01-02 23:37:01,"Civil War: Tucker Carlson Hits His Own Network in Epic Post-Election Monologue

REDSTATE.COM
Civil War: Tucker Carlson Hits His Own Network in Epic Post-Election Monologue",225666
2021-01-02 18:07:38,"In case you missed it!

Lara Trump
January 2 at 12:15 PM ·

ICYMI: The Right View with Lara Trump, Dr. Gina Loudon, and Erin Elmore! #TheRightView",38417
2021-01-02 17:31:31,"Why haven’t they done signature verification in Fulton County, Georgia. Why haven’t they deducted all of the dead people who “voted”, illegals who voted, non Georgia residents who voted, and tens of thousands of others who voted illegally, from the final vote tally? Just a small portion of these votes give US a big and conclusive win in Georgia. Have they illegally destroyed ballots in Fulton County? After many weeks, we don’t yet even have a judge to hear this large scale voter fraud case. The only judge seems to be Stacey’s sister!",222435
2021-01-02 15:40:53,MAKE AMERICA GREAT AGAIN!,832504
2021-01-02 15:40:06,"Will be in Georgia on Monday night, 9:00 P.M. to RALLY for two GREAT people, David Perdue & Kelly Loeffler. GET READY TO VOTE ON TUESDAY!!!",149762
